,schedule_date,schedule_season,team_home,score_home,score_away,team_away,team_favorite_id,game_winner,home_team_won,spread_favorite,over_under_line,stadium,stadium_type,weather_temperature(°F),weather_wind_mph,weather_humidity(%)
0,9/5/2013,2013,DEN,49,27,BAL,DEN,DEN,1,-7.5,49.5,Sports Authority Field at Mile High,Outdoor,83.0,7.0,30.0
1,9/8/2013,2013,BUF,21,23,NE,NE,NE,0,-10.5,51.5,Ralph Wilson Stadium,Outdoor,65.0,6.0,55.0
2,9/8/2013,2013,CAR,7,12,SEA,SEA,SEA,0,-3.5,45.0,Bank of America Stadium,Outdoor,87.0,7.0,48.0
3,9/8/2013,2013,CHI,24,21,CIN,CHI,CHI,1,-3.0,42.0,Soldier Field,Outdoor,77.0,13.0,79.0
4,9/8/2013,2013,CLE,10,23,MIA,CLE,MIA,0,-2.5,40.5,FirstEnergy Stadium,Outdoor,72.0,16.0,80.0
5,9/8/2013,2013,DAL,36,31,NYG,DAL,DAL,1,-3.5,50.0,Cowboys Stadium,Outdoor,72.0,0.0,
6,9/8/2013,2013,DET,34,24,MIN,DET,DET,1,-4.5,47.5,Ford Field,Indoor,72.0,0.0,
7,9/8/2013,2013,IND,21,17,LVR,IND,IND,1,-11.5,45.5,Lucas Oil Stadium,Indoor,72.0,0.0,
8,9/8/2013,2013,JAX,2,28,KC,KC,KC,0,-4.5,43.0,EverBank Field,Outdoor,87.0,10.0,55.0
9,9/8/2013,2013,NO,23,17,ATL,NO,NO,1,-3.5,56.0,Louisiana Superdome,Indoor,72.0,0.0,
10,9/8/2013,2013,NYJ,18,17,TB,TB,NYJ,1,-6.0,39.0,MetLife Stadium,Outdoor,82.0,9.0,50.0
11,9/8/2013,2013,PIT,9,16,TEN,PIT,TEN,0,-6.0,42.0,Heinz Field,Outdoor,74.0,9.0,76.0
12,9/8/2013,2013,SF,34,28,GB,SF,SF,1,-5.0,48.5,Candlestick Park,Outdoor,69.0,6.0,67.0
13,9/8/2013,2013,LAR,27,24,ARI,LAR,LAR,1,-3.5,41.5,Edward Jones Dome,Indoor,72.0,0.0,
14,9/9/2013,2013,LAC,28,31,HOU,HOU,HOU,0,-6.5,45.5,Qualcomm Stadium,Outdoor,70.0,3.0,73.0
15,9/9/2013,2013,WAS,27,33,PHI,WAS,PHI,0,-4.5,53.5,FedEx Field,Outdoor,80.0,9.0,52.0
16,9/12/2013,2013,NE,13,10,NYJ,NE,NE,1,-11.5,43.5,Gillette Stadium,Outdoor,72.0,8.0,89.0
17,9/15/2013,2013,ARI,25,21,DET,DET,ARI,1,-2.0,48.5,University of Phoenix Stadium,Indoor,72.0,0.0,
18,9/15/2013,2013,ATL,31,24,LAR,ATL,ATL,1,-5.5,47.5,Georgia Dome,Indoor,72.0,0.0,
19,9/15/2013,2013,BAL,14,6,CLE,BAL,BAL,1,-7.0,44.0,M&T Bank Stadium,Outdoor,78.0,6.0,37.0
20,9/15/2013,2013,BUF,24,23,CAR,CAR,BUF,1,-3.5,43.5,Ralph Wilson Stadium,Outdoor,66.0,10.0,59.0
21,9/15/2013,2013,CHI,31,30,MIN,CHI,CHI,1,-6.5,42.0,Soldier Field,Outdoor,62.0,6.0,76.0
22,9/15/2013,2013,GB,38,20,WAS,GB,GB,1,-8.0,50.0,Lambeau Field,Outdoor,62.0,4.0,100.0
23,9/15/2013,2013,HOU,30,24,TEN,HOU,HOU,1,-9.0,43.0,Reliant Stadium,Indoor,91.0,9.0,54.0
24,9/15/2013,2013,IND,20,24,MIA,IND,MIA,0,-3.0,44.0,Lucas Oil Stadium,Indoor,72.0,0.0,
25,9/15/2013,2013,KC,17,16,DAL,KC,KC,1,-3.0,46.0,Arrowhead Stadium,Outdoor,79.0,6.0,69.0
26,9/15/2013,2013,NYG,23,41,DEN,DEN,DEN,0,-4.0,55.5,MetLife Stadium,Outdoor,70.0,3.0,33.0
27,9/15/2013,2013,LVR,19,9,JAX,LVR,LVR,1,-5.0,40.0,Oakland Coliseum,Outdoor,76.0,9.0,52.0
28,9/15/2013,2013,PHI,30,33,LAC,PHI,LAC,0,-7.5,54.0,Lincoln Financial Field,Outdoor,72.0,7.0,40.0
