Week,Season,Favoured Winner,Home Winner,Week Count
1,2013,12,9,16
1,2014,9,10,16
1,2015,10,10,16
1,2016,10,7,16
1,2017,9,7,15
1,2018,11,8,16
1,2019,11,8,16
1,2020,10,8,16
1,2021,8,8,16
1,2022,11,6,16
10,2013,9,7,14
10,2014,9,7,13
10,2015,3,3,14
10,2016,5,7,14
10,2017,12,8,14
10,2018,8,8,14
10,2019,5,8,13
10,2020,11,11,14
10,2021,7,8,14
10,2022,7,9,14
11,2013,11,12,15
11,2014,7,7,14
11,2015,9,8,14
11,2016,12,9,14
11,2017,11,6,14
11,2018,9,8,13
11,2019,12,7,14
11,2020,8,9,14
11,2021,10,6,15
11,2022,11,5,14
12,2013,7,4,14
12,2014,11,10,15
12,2015,10,9,16
12,2016,13,9,16
12,2017,14,10,16
12,2018,12,11,15
12,2019,11,10,14
12,2020,11,6,16
12,2021,8,9,15
12,2022,11,11,16
13,2013,12,9,16
13,2014,9,9,16
13,2015,12,5,16
13,2016,10,9,15
13,2017,10,11,16
13,2018,9,10,16
13,2019,9,8,16
13,2020,9,5,15
13,2021,8,6,14
13,2022,14,9,15
14,2013,14,14,16
14,2014,11,6,16
14,2015,11,9,16
14,2016,11,9,16
14,2017,8,10,16
14,2018,9,11,16
14,2019,12,9,16
14,2020,12,7,16
14,2021,12,8,14
14,2022,8,7,13
15,2013,9,7,16
15,2014,12,9,16
15,2015,12,7,16
15,2016,12,7,16
15,2017,15,9,16
15,2018,10,9,16
15,2019,10,7,16
15,2020,10,8,16
15,2021,12,8,16
15,2022,12,9,16
16,2013,10,8,16
16,2014,9,9,16
16,2015,9,11,16
16,2016,11,11,16
16,2017,13,11,16
16,2018,12,9,16
16,2019,10,8,16
16,2020,11,9,16
16,2021,10,10,16
16,2022,10,8,16
17,2013,13,10,16
17,2014,13,9,16
17,2015,8,9,16
17,2016,13,10,16
17,2017,11,10,16
17,2018,12,8,16
17,2019,11,7,16
17,2020,14,7,16
17,2021,13,11,16
17,2022,11,9,15
18,2021,10,8,16
18,2022,12,11,16
2,2013,12,12,16
2,2014,9,9,16
2,2015,6,9,16
2,2016,9,10,16
2,2017,11,9,16
2,2018,10,11,16
2,2019,10,6,16
2,2020,14,11,16
2,2021,11,8,16
2,2022,10,11,16
3,2013,10,11,16
3,2014,11,9,16
3,2015,10,8,16
3,2016,9,9,16
3,2017,8,11,16
3,2018,10,10,16
3,2019,10,9,16
3,2020,9,6,16
3,2021,9,8,16
3,2022,7,8,16
4,2013,9,9,15
4,2014,7,8,13
4,2015,11,9,15
4,2016,8,8,15
4,2017,9,8,16
4,2018,11,9,15
4,2019,7,4,15
4,2020,10,6,15
4,2021,10,7,16
4,2022,10,8,16
5,2013,7,8,14
5,2014,13,11,15
5,2015,10,6,14
5,2016,8,7,14
5,2017,7,4,14
5,2018,10,12,15
5,2019,9,7,15
5,2020,9,9,14
5,2021,12,8,16
5,2022,11,8,16
6,2013,12,8,15
6,2014,10,4,15
6,2015,8,8,14
6,2016,9,12,15
6,2017,5,6,14
6,2018,10,9,15
6,2019,7,7,14
6,2020,9,7,14
6,2021,10,5,14
6,2022,8,8,14
7,2013,9,9,15
7,2014,11,12,15
7,2015,10,9,14
7,2016,7,8,15
7,2017,12,10,15
7,2018,10,6,14
7,2019,11,5,14
7,2020,10,6,14
7,2021,9,9,13
7,2022,9,9,14
8,2013,11,8,13
8,2014,10,8,15
8,2015,9,9,14
8,2016,9,8,13
8,2017,12,8,13
8,2018,11,8,14
8,2019,13,11,15
8,2020,7,7,14
8,2021,7,6,15
8,2022,9,8,15
9,2013,7,8,13
9,2014,9,8,13
9,2015,8,9,13
9,2016,10,7,13
9,2017,9,7,13
9,2018,6,6,13
9,2019,8,11,14
9,2020,10,5,14
9,2021,7,7,14
9,2022,9,7,13
Conference,2013,2,2,2
Conference,2014,2,2,2
Conference,2015,1,2,2
Conference,2016,2,2,2
Conference,2017,1,2,2
Conference,2018,0,0,2
Conference,2019,2,2,2
Conference,2020,1,1,2
Conference,2021,1,1,2
Conference,2022,2,2,2
Division,2013,4,3,4
Division,2014,3,3,4
Division,2015,4,4,4
Division,2016,2,2,4
Division,2017,2,3,4
Division,2018,4,4,4
Division,2019,3,3,4
Division,2020,3,3,4
Division,2021,1,1,4
Division,2022,3,3,4
Superbowl,2013,0,0,1
Superbowl,2014,1,0,1
Superbowl,2015,0,1,1
Superbowl,2016,1,0,1
Superbowl,2017,0,0,1
Superbowl,2018,1,0,1
Superbowl,2019,1,1,1
Superbowl,2020,0,1,1
Superbowl,2021,1,0,1
Superbowl,2022,0,0,1
Wildcard,2013,1,1,4
Wildcard,2014,3,3,4
Wildcard,2015,3,0,4
Wildcard,2016,4,4,4
Wildcard,2017,2,2,4
Wildcard,2018,1,1,4
Wildcard,2019,1,1,4
Wildcard,2020,4,2,6
Wildcard,2021,5,5,6
Wildcard,2022,4,4,6
