,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
10809,9/5/2013,2013,1,False,DEN,49,27,BAL,DEN,-7.5,49.5,Sports Authority Field at Mile High,False,83.0,7.0,30.0,
10810,9/8/2013,2013,1,False,BUF,21,23,NE,NE,-10.5,51.5,Ralph Wilson Stadium,False,65.0,6.0,55.0,
10811,9/8/2013,2013,1,False,CAR,7,12,SEA,SEA,-3.5,45,Bank of America Stadium,False,87.0,7.0,48.0,
10812,9/8/2013,2013,1,False,CHI,24,21,CIN,CHI,-3.0,42,Soldier Field,False,77.0,13.0,79.0,
10813,9/8/2013,2013,1,False,CLE,10,23,MIA,CLE,-2.5,40.5,FirstEnergy Stadium,False,72.0,16.0,80.0,
10814,9/8/2013,2013,1,False,DAL,36,31,NYG,DAL,-3.5,50,Cowboys Stadium,False,72.0,0.0,,indoor
10815,9/8/2013,2013,1,False,DET,34,24,MIN,DET,-4.5,47.5,Ford Field,False,72.0,0.0,,indoor
10816,9/8/2013,2013,1,False,IND,21,17,LVR,IND,-11.5,45.5,Lucas Oil Stadium,False,72.0,0.0,,indoor
10817,9/8/2013,2013,1,False,JAX,2,28,KC,KC,-4.5,43,EverBank Field,False,87.0,10.0,55.0,
10818,9/8/2013,2013,1,False,NO,23,17,ATL,NO,-3.5,56,Louisiana Superdome,False,72.0,0.0,,indoor
10819,9/8/2013,2013,1,False,NYJ,18,17,TB,TB,-6.0,39,MetLife Stadium,False,82.0,9.0,50.0,
10820,9/8/2013,2013,1,False,PIT,9,16,TEN,PIT,-6.0,42,Heinz Field,False,74.0,9.0,76.0,
10821,9/8/2013,2013,1,False,SF,34,28,GB,SF,-5.0,48.5,Candlestick Park,False,69.0,6.0,67.0,
10822,9/8/2013,2013,1,False,LAR,27,24,ARI,LAR,-3.5,41.5,Edward Jones Dome,False,72.0,0.0,,indoor
10823,9/9/2013,2013,1,False,LAC,28,31,HOU,HOU,-6.5,45.5,Qualcomm Stadium,False,70.0,3.0,73.0,
10824,9/9/2013,2013,1,False,WAS,27,33,PHI,WAS,-4.5,53.5,FedEx Field,False,80.0,9.0,52.0,
10825,9/12/2013,2013,2,False,NE,13,10,NYJ,NE,-11.5,43.5,Gillette Stadium,False,72.0,8.0,89.0,rain | fog
10826,9/15/2013,2013,2,False,ARI,25,21,DET,DET,-2.0,48.5,University of Phoenix Stadium,False,72.0,0.0,,indoor
10827,9/15/2013,2013,2,False,ATL,31,24,LAR,ATL,-5.5,47.5,Georgia Dome,False,72.0,0.0,,indoor
10828,9/15/2013,2013,2,False,BAL,14,6,CLE,BAL,-7.0,44,M&T Bank Stadium,False,78.0,6.0,37.0,
10829,9/15/2013,2013,2,False,BUF,24,23,CAR,CAR,-3.5,43.5,Ralph Wilson Stadium,False,66.0,10.0,59.0,
10830,9/15/2013,2013,2,False,CHI,31,30,MIN,CHI,-6.5,42,Soldier Field,False,62.0,6.0,76.0,rain
10831,9/15/2013,2013,2,False,GB,38,20,WAS,GB,-8.0,50,Lambeau Field,False,62.0,4.0,100.0,
