,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,score_dff (home-away),team_away,team_favorite_id,favor_direction,favor_score_diff,spread_favorite,win_loss,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
10809,9/5/2013,2013,1,FALSE,DEN,49,27,22,BAL,DEN,Home,-22,-7.5,TRUE,49.5,Sports Authority Field at Mile High,FALSE,83,7,30,
10810,9/8/2013,2013,1,FALSE,BUF,21,23,-2,NE,NE,Away,-2,-10.5,FALSE,51.5,Ralph Wilson Stadium,FALSE,65,6,55,
10811,9/8/2013,2013,1,FALSE,CAR,7,12,-5,SEA,SEA,Away,-5,-3.5,TRUE,45,Bank of America Stadium,FALSE,87,7,48,
10812,9/8/2013,2013,1,FALSE,CHI,24,21,3,CIN,CHI,Home,-3,-3,FALSE,42,Soldier Field,FALSE,77,13,79,
10813,9/8/2013,2013,1,FALSE,CLE,10,23,-13,MIA,CLE,Home,13,-2.5,FALSE,40.5,FirstEnergy Stadium,FALSE,72,16,80,
10814,9/8/2013,2013,1,FALSE,DAL,36,31,5,NYG,DAL,Home,-5,-3.5,TRUE,50,Cowboys Stadium,FALSE,72,0,,indoor
10815,9/8/2013,2013,1,FALSE,DET,34,24,10,MIN,DET,Home,-10,-4.5,TRUE,47.5,Ford Field,FALSE,72,0,,indoor
10816,9/8/2013,2013,1,FALSE,IND,21,17,4,LVR,IND,Home,-4,-11.5,FALSE,45.5,Lucas Oil Stadium,FALSE,72,0,,indoor
10817,9/8/2013,2013,1,FALSE,JAX,2,28,-26,KC,KC,Away,-26,-4.5,TRUE,43,EverBank Field,FALSE,87,10,55,
10818,9/8/2013,2013,1,FALSE,NO,23,17,6,ATL,NO,Home,-6,-3.5,TRUE,56,Louisiana Superdome,FALSE,72,0,,indoor
10819,9/8/2013,2013,1,FALSE,NYJ,18,17,1,TB,TB,Away,1,-6,FALSE,39,MetLife Stadium,FALSE,82,9,50,
10820,9/8/2013,2013,1,FALSE,PIT,9,16,-7,TEN,PIT,Home,7,-6,FALSE,42,Heinz Field,FALSE,74,9,76,
10821,9/8/2013,2013,1,FALSE,SF,34,28,6,GB,SF,Home,-6,-5,TRUE,48.5,Candlestick Park,FALSE,69,6,67,
10822,9/8/2013,2013,1,FALSE,LAR,27,24,3,ARI,LAR,Home,-3,-3.5,FALSE,41.5,Edward Jones Dome,FALSE,72,0,,indoor
10823,9/9/2013,2013,1,FALSE,LAC,28,31,-3,HOU,HOU,Away,-3,-6.5,FALSE,45.5,Qualcomm Stadium,FALSE,70,3,73,
10824,9/9/2013,2013,1,FALSE,WAS,27,33,-6,PHI,WAS,Home,6,-4.5,FALSE,53.5,FedEx Field,FALSE,80,9,52,
10825,9/12/2013,2013,2,FALSE,NE,13,10,3,NYJ,NE,Home,-3,-11.5,FALSE,43.5,Gillette Stadium,FALSE,72,8,89,rain | fog
10826,9/15/2013,2013,2,FALSE,ARI,25,21,4,DET,DET,Away,4,-2,FALSE,48.5,University of Phoenix Stadium,FALSE,72,0,,indoor
10827,9/15/2013,2013,2,FALSE,ATL,31,24,7,LAR,ATL,Home,-7,-5.5,TRUE,47.5,Georgia Dome,FALSE,72,0,,indoor
10828,9/15/2013,2013,2,FALSE,BAL,14,6,8,CLE,BAL,Home,-8,-7,TRUE,44,M&T Bank Stadium,FALSE,78,6,37,
10829,9/15/2013,2013,2,FALSE,BUF,24,23,1,CAR,CAR,Away,1,-3.5,FALSE,43.5,Ralph Wilson Stadium,FALSE,66,10,59,
